Call Number,Call 1,Call 2,Call 3,Call 4
1,0.06570005416870117,0.14869904518127441,0.06452012062072754,0.06618404388427734
2,0.059858083724975586,0.05963706970214844,0.061858177185058594,0.08896899223327637
3,0.15206289291381836,0.06447005271911621,0.06403923034667969,0.060415029525756836
4,0.059454917907714844,0.06590485572814941,0.06436800956726074,0.1464531421661377
5,0.060343027114868164,0.059797048568725586,0.06156110763549805,0.06407022476196289
6,0.060862064361572266,0.0614171028137207,0.12919211387634277,0.06422281265258789
7,0.06186318397521973,0.06331276893615723,0.05701184272766113,0.06340479850769043
8,0.059571266174316406,0.1510450839996338,0.06429696083068848,0.06387090682983398
9,0.062391042709350586,0.0592648983001709,0.06199502944946289,0.055411338806152344
10,0.13181495666503906,0.06542015075683594,0.06837677955627441,0.06315326690673828
11,0.06231999397277832,0.059877872467041016,0.06848788261413574,0.13708114624023438
12,0.05973696708679199,0.061363935470581055,0.06678605079650879,0.06106114387512207
13,0.06494379043579102,0.06274628639221191,0.14841103553771973,0.06250214576721191
14,0.06313967704772949,0.06641793251037598,0.06299495697021484,0.06061601638793945
15,0.061834096908569336,0.14624714851379395,0.06548810005187988,0.06147909164428711
16,0.06654691696166992,0.0630500316619873,0.06416916847229004,0.06326508522033691
17,0.13952898979187012,0.0618131160736084,0.06289815902709961,0.06358098983764648
18,0.06325387954711914,0.06209588050842285,0.06530976295471191,0.14240312576293945
19,0.061953067779541016,0.06328988075256348,0.06273794174194336,0.06241583824157715
20,0.06171989440917969,0.05903005599975586,0.06138300895690918,0.12796401977539062
21,0.0617218017578125,0.06310510635375977,0.06181001663208008,0.06200599670410156
22,0.06417083740234375,0.05866289138793945,0.15182709693908691,0.062496185302734375
23,0.06257891654968262,0.06293511390686035,0.06296682357788086,0.06406807899475098
24,0.06966114044189453,0.14294123649597168,0.06503486633300781,0.0629420280456543
25,0.06301188468933105,0.06303882598876953,0.06305313110351562,0.06472587585449219
26,0.14339780807495117,0.06255102157592773,0.062957763671875,0.06333494186401367
27,0.06191277503967285,0.06587386131286621,0.07083296775817871,0.14190292358398438
28,0.06416487693786621,0.060997962951660156,0.06566405296325684,0.06267905235290527
